typhoon_name,admin_L3_code,admin_L2_code,admin_L3_name,comp_damage_houses,part_damage_houses,total_damage_houses,pop_15,n_households,pop_density_15,average_speed_mph,distance_typhoon_km,Rainfallme,distance_first_impact,x_pos,y_pos,mean_elevation_m,mean_slope,slope_stdev,mean_ruggedness,ruggedness_stdev,with_coast,coast_length,perimeter,area_km2,poverty_perc,roof_conc,roof_makeshift,roof_straw,roof_iron,roof_half_conc,roof_wood,wall_conc,wall_wood,wall_iron,wall_makeshift,wall_bamboo,wall_half_wood
Melor,PH034920000,PH034900000,PANTABANGAN,,,,29925,6017,71.28411454,40,183.8534218,514.2,566493.8175,302488.7811,1750268.771,358.2771864,10.17974794,6.444992002,51.15759557,29.28388122,1,176919.002,274669,419.799,4.741854637,0.000220523,0.002205234,0.155101441,0.826301088,0.012606586,0.003565128,0.529276147,0.121386226,0.005086731,0.005599063,0.220851936,0.117799898
Melor,PH035403000,PH035400000,ARAYAT,,,,133492,24027,712.9345289,40,135.936171,279.2,560039.5412,259767.4899,1679421.14,79.89132371,3.842672259,6.799251822,18.98732624,31.65665684,0,,73260,187.243,2.684805082,0.004441069,0.001560153,0.014916379,0.911376731,0.035677139,0.032028529,0.768784362,0.055655533,0.002327924,0.003326784,0.040144298,0.129761099
Melor,PH037707000,PH037700000,MARIA AURORA,,,,40734,8674,121.4084742,40,209.4213168,585.6,542551.3721,328953.9938,1744423.726,280.6896577,10.52547324,7.899570495,53.28449142,37.28324832,0,,82346,335.512,4.148868267,0.000761795,0.00086687,0.083955028,0.89731533,0.012530209,0.004570768,0.528945219,0.246660167,0.003161972,0.003741667,0.069905931,0.147585044
Melor,PH041005000,PH041000000,BATANGAS CITY (Capital),,,,329874,67357,1202.007025,73.8063064,37.6330914,247.8,461451.7201,294812.5295,1516474.867,165.4094225,8.284497699,8.039390536,41.55873275,37.94658096,1,51342.11119,122311,274.436,2.045326397,0.009411819,0.003893414,0.019598381,0.898390438,0.053989108,0.014716841,0.693092803,0.069917848,0.004272154,0.005167397,0.04930092,0.178248878
Melor,PH041008000,PH041000000,CALATAGAN,,,,56449,11948,530.8999596,88.54220599,24.60784713,217.07,512299.2368,246926.5185,1533872.944,46.3256711,4.361849885,4.619384604,23.19748631,22.13181762,1,79461.45251,89508,106.327,5.886729614,0.008362718,0.00398867,0.092529433,0.758984142,0.108002389,0.028132647,0.577686397,0.059249392,0.006660489,0.004440326,0.144600178,0.207363219
Melor,PH041010000,PH041000000,IBAAN,,,,52970,10249,753.1208235,66.28178655,49.88292912,236.3,460966.2161,298983.3138,1528492.528,129.2670778,1.916007584,2.135216178,11.14668942,11.15541138,0,,41893,70.334,2.977156881,0.003079149,0.002624509,0.014424468,0.935441207,0.038458359,0.005972308,0.634946661,0.055228093,0.002490557,0.003860363,0.087543066,0.215931261
Melor,PH041019000,PH041000000,NASUGBU,,,,134113,26374,503.1665278,67.05804304,48.71179795,166.8,517810.3408,250356.6322,1562110.379,143.3791808,7.966248251,7.234247906,40.73986515,33.81144265,1,85856.40368,185809,266.538,4.344843527,0.014659918,0.004233082,0.040083021,0.893032642,0.033881064,0.014110273,0.594679199,0.11384961,0.007458372,0.007664861,0.089706951,0.186641007
Melor,PH041025000,PH041000000,SAN NICOLAS,,,,22623,4042,1060.320585,64.45304515,52.6347394,206.18,483276.6516,280777.8952,1544486.354,51.77127244,5.101328872,5.665016595,25.55322274,27.9486122,1,3639.809653,31784,21.336,4.729699863,0.000922375,0.000825283,0.054274479,0.907956697,0.024175931,0.011845235,0.72018505,0.035792549,0.002093986,0.001071342,0.129486243,0.11137083
Melor,PH041027000,PH041000000,SANTA TERESITA,,,,21127,3938,1374.292591,70,44.97549616,208.24,480287.1333,280822.0681,1535130.515,123.8758134,3.171020802,3.536260438,16.08609321,16.32647438,1,5849.038616,21989,15.373,3.630425522,0.002584425,0.002010108,0.042556857,0.886687342,0.044337239,0.021824029,0.672537846,0.037702182,0.028492488,0.001208772,0.127784493,0.132274219
Melor,PH041032000,PH041000000,TAYSAN,,,,38007,7435,410.6600685,67.25392159,48.91529069,253.58,450282.2315,307870.5979,1521142.292,175.1365277,4.678892161,5.106211975,25.33822328,24.86768585,0,,55109,92.551,3.930854843,0.002888373,0.001897265,0.012516282,0.96075211,0.01718865,0.00475732,0.508164135,0.070765299,0.002981684,0.007127644,0.182507454,0.228453784
Melor,PH042121000,PH042100000,TERNATE,,,,23157,4166,497.4223482,65.96000443,60.16994225,176.95,524623.329,249064.732,1578145.942,121.561693,11.04258983,7.863588632,56.47158894,35.01948889,1,29116.74665,58270,46.554,5.94636611,0.01402816,0.005611264,0.08635112,0.84579415,0.016210318,0.032004988,0.516060069,0.195588695,0.006882887,0.021430806,0.107831891,0.152205652
Melor,PH045640000,PH045600000,SAN ANDRES,,,,35780,7263,203.9955301,72.50830119,50.12905009,272.15,289858.0406,461461.702,1474799.026,152.2574568,7.271084132,5.627876842,36.81280353,26.10916656,1,43018.85243,98663,175.396,6.998323086,0.005408999,0.009186233,0.532469102,0.399782431,0.039343668,0.013809567,0.213602808,0.16017185,0.003297834,0.012858526,0.491225947,0.118843035
Melor,PH050513000,PH050500000,PIO DURAN,,,,46693,9127,331.9800924,86.28573979,29.8499495,153.51,195764.0027,550467.9194,1444109.201,115.794592,6.33066573,5.221826477,33.56839803,23.25605141,1,15917.90586,64599,140.65,9.603152507,0.030048746,0.001914216,0.558617313,0.358270083,0.04465021,0.006499432,0.300555593,0.146105273,0.013677845,0.009884642,0.403797666,0.125978981
Melor,PH050516000,PH050500000,SANTO DOMINGO (LIBOG),,,,34967,6887,638.6899978,70.10519288,55.3072114,99.78,173412.7244,582248.6463,1464216.148,308.5016758,8.973421533,8.001769072,41.74211036,37.58442379,1,14660.24541,47894,54.748,6.114336374,0.154351192,0.002322701,0.35119232,0.43381852,0.051347166,0.006968102,0.617847201,0.092421899,0.005784101,0.009124652,0.123074544,0.151747603
Melor,PH051608000,PH051600000,PARACALE,,,,59149,11414,376.0386535,46.1132121,152.1673284,108,322680.0319,475667.7695,1575880.22,62.52341422,6.285625447,5.881656675,31.37576068,26.07529786,1,32646.00791,88582,157.295,5.393159648,0.008084471,0.00413668,0.463119322,0.503485012,0.018851174,0.002323341,0.389580652,0.221009008,0.0034441,0.011240633,0.225153281,0.149572326
Melor,PH051612000,PH051600000,VINZONS,,,,43485,8909,462.3555305,45.87183175,153.5065046,107.48,311338.6359,489575.8086,1575650.277,11.12959329,2.083998552,3.662750792,11.42162258,17.23955778,1,37565.25022,205244,94.051,7.400252961,0.007552146,0.001822105,0.568712539,0.412083433,0.008319348,0.001510429,0.421582176,0.168691056,0.001430407,0.010691687,0.279074842,0.118529832
Melor,PH051725000,PH051700000,OCAMPO,,,,45934,8587,388.3463954,50.11978754,85.60338206,81.88,226919.1992,541474.7215,1501424.311,257.8468488,6.362983595,8.822615322,31.51982412,43.75509549,0,,59566,118.281,9.141376758,0.014160066,0.004650949,0.260660343,0.690919138,0.02615583,0.003453675,0.373150836,0.066892484,0.022143878,0.011498226,0.380063597,0.146250979
Melor,PH052002000,PH052000000,BARAS,,,,12848,2566,180.6346394,50,116.2581973,84.77,155361.3734,647544.1073,1514315.752,189.2018306,11.90409958,6.599800726,60.49819651,29.06550515,1,42960.62707,73442,71.127,7.020547945,0.072913257,0.003764321,0.335188216,0.539934534,0.045335516,0.002864157,0.432953334,0.162060198,0.016402854,0.00615107,0.244156483,0.13827606
Melor,PH052006000,PH052000000,PANDAN,,,,20516,3786,193.4613898,50,149.538049,45.52,196366.497,629191.6183,1551468.533,111.3830798,8.674159928,6.044748173,45.84503126,27.55866069,1,52578.77473,72753,106.047,7.364983428,0.008780992,0,0.398657025,0.579028926,0.012654959,0.000878099,0.294129827,0.244331711,0.00657418,0.001863547,0.272647272,0.180453463
Melor,PH054103000,PH054100000,BALUD,,,,38124,7240,181.8962556,50.83191406,87.60387914,108.5,220752.2077,525326.2948,1328938.024,40.70758411,4.244057191,4.78979195,21.62910336,22.72365148,1,78452.15062,107903,209.592,7.672332389,0.002493207,0.003529708,0.540801748,0.41958708,0.028545816,0.005042441,0.240801365,0.047762948,0.002014606,0.008394191,0.58602647,0.11500042
Melor,PH054104000,PH054100000,BATUAN,,,,15086,2896,286.1478348,86.78642442,36.39158929,140.74,156072.4622,582894.0959,1370903.289,60.26321674,6.640288938,4.752842741,34.07338906,21.81589062,1,35990.5438,50747,52.721,8.033938751,0.001745581,0.004218489,0.737217252,0.232598734,0.012655466,0.011564477,0.181758673,0.357480544,0.001236454,0.00596407,0.349334497,0.104225762
Melor,PH054107000,PH054100000,CLAVERIA,,,,43693,8692,255.8572591,108.9583864,5.225104182,181.2,216705.0926,524080.9779,1422503.642,83.23610023,6.783165719,5.244207326,34.06981517,23.69611087,1,149326.6142,156604,170.771,8.346874785,0.004719958,0.048183952,0.653827709,0.275297206,0.014058911,0.003912264,0.169778778,0.089313836,0.001699788,0.050518685,0.591501062,0.097187852
Melor,PH054110000,PH054100000,MANDAON,,,,41262,7701,128.2643498,62.27059441,64.18927934,124,207502.2152,533753.6045,1351546.814,56.28223857,4.462792214,4.780818315,22.77677129,22.66666915,1,86750.64517,177044,321.695,9.987397606,0.005798099,0.004183103,0.555955627,0.420110667,0.012469884,0.001482619,0.227671958,0.07042328,0.002962963,0.006931217,0.592671958,0.099338624
Melor,PH054114000,PH054100000,MONREAL,,,,26614,5008,298.466956,103.7560206,13.83736063,152.14,168876.2792,569350.9351,1396282.81,113.4684659,8.628991271,6.0404463,44.2990374,28.81987768,1,5157.268486,93622,89.169,8.070940107,0.004804365,0.001995033,0.779732096,0.203900493,0.007613697,0.001954318,0.147043517,0.216902198,0.000720605,0.012050122,0.551102926,0.072180632
Melor,PH054118000,PH054100000,SAN FERNANDO,,,,23057,4765,295.288347,90.0345347,28.56349547,142.18,159442.4671,578805.0117,1379601.046,77.15576758,7.520728191,6.018578076,38.86845704,27.7155905,1,25279.94624,45413,78.083,7.715661187,0.005348606,0.001987977,0.699815402,0.282813461,0.007525915,0.002508638,0.205960093,0.339777144,0.001243846,0.003161441,0.318165328,0.131692148
Melor,PH054119000,PH054100000,SAN JACINTO,,,,30372,6530,282.3358804,94.99728493,20.67502404,147.98,162969.9738,575055.2626,1388298.602,108.04621,7.395642103,5.300514498,39.08196722,24.83361613,1,33231.00288,58437,107.574,8.119320427,0.003617608,0.00068054,0.683298112,0.257709803,0.022780186,0.03191375,0.211472879,0.301611803,0.001543598,0.005743619,0.375166026,0.104462074
Melor,PH054120000,PH054100000,SAN PASCUAL,,,,46674,9183,182.142439,93.37565394,23.77844709,256.8,241500.3822,502999.4112,1443567.442,58.86474248,5.185826825,3.756336604,28.0460395,17.48350976,1,126512.5503,170495,256.25,8.617217294,0.006203798,0.03793587,0.653371681,0.275581755,0.018754011,0.008152884,0.173147009,0.071101929,0.004572994,0.041249797,0.628241138,0.081687133
Melor,PH056202000,PH056200000,BARCELONA,,,,20990,4651,352.0099281,116.7223051,17.62434761,196.22,120975.1541,621051.4176,1418878.234,90.72904401,4.191145435,3.198953349,22.86425942,14.35994355,1,12700.52651,41088,59.629,8.199142449,0.012450787,0.001476378,0.367962598,0.551377953,0.031496063,0.03523622,0.412346773,0.312312312,0.002461478,0.006892138,0.065376852,0.200610447
Melor,PH056203000,PH056200000,BULAN,,,,100076,19582,500.9937173,121.3550067,2.297699083,141.6,138266.3438,600504.0608,1402358.821,74.31578507,6.154126022,6.42990326,32.12408326,29.71040341,1,40061.51161,78529,199.755,7.665174467,0.005745411,0.002387703,0.645031658,0.298303025,0.025721108,0.022811094,0.388869911,0.210421248,0.004569037,0.006245063,0.215193117,0.174701625
Melor,PH056204000,PH056200000,BULUSAN,,,,22884,4900,258.2815092,131.0775909,9.197898687,200.23,120198.0964,619950.2484,1410514.009,313.7008008,10.82556446,8.591188667,53.97564119,42.19875043,1,16834.46958,46028,88.601,7.33700402,0.013931748,0.00154293,0.49686876,0.472408786,0.012116537,0.00313124,0.470663323,0.24385685,0.001914748,0.005653066,0.107453841,0.170458172
