typhoon_name,admin_L3_code,admin_L3_name,pop_15,n_households,partly_damaged_houses_true,completely_damaged_houses_true,total_damaged_houses_true
Nina,PH041033000,TINGIOY,17919,3648,1303,250,1553
Nina,PH045601000,AGDANGANART,12851,2739,41,2,43
Nina,PH045603000,ATIMONAN,63432,14510,5,5,10
Nina,PH045605000,BUENAVISTA,30047,6031,1231,45,1276
Nina,PH045610000,CATANAUAN,71073,14491,1654,77,1731
Nina,PH045616000,GENERAL LUNA,26494,5472,594,33,627
Nina,PH045622000,LOPEZ,95167,20112,3,2,5
Nina,PH045625000,MACALEION,28188,5737,207,0,207
Nina,PH045628000,MULANAY,53123,10682,3343,774,4117
Nina,PH045634000,PITOGO,23019,4666,1139,4,1143
Nina,PH045640000,SAN ANDRES,35780,7263,3102,590,3692
Nina,PH045641000,SAN ANTONIO,33467,6391,2,2,4
Nina,PH045642000,SAN FRANCISCO (AURORA),61473,12153,14537,1745,16282
Nina,PH045644000,SAN NARCISO,48461,9877,2509,1447,3956
Nina,PH045649000,UNISAN,26884,5887,38,1,39
Nina,PH174001000,BOAC (CAPITAL),54730,11943,5672,1149,6821
Nina,PH174002000,BUENAVISTA,23988,4909,3675,843,4518
Nina,PH174003000,GASAN,34828,7444,4137,699,4836
Nina,PH174004000,MOGPOG,34043,7758,3669,1012,4681
Nina,PH174005000,SANTA CRUZ,56408,13065,6223,1402,7625
Nina,PH174006000,TORRIJOS,30524,6529,4300,743,5043
Nina,PH175101000,ABRA DE LLOG,31306,6323,1,0,1
Nina,PH175103000,LOOC,10117,2139,18,0,18
Nina,PH175104000,LUBANG,18803,5531,314,6,320
Nina,PH175201000,BACO,37215,7483,2399,466,2865
Nina,PH175205000,CITY OF CAIAPAN (CAPITAQ,133893,27242,4067,999,5066
Nina,PH175208000,NAUJAN,102998,21479,186,566,752
Nina,PH175211000,PUERTO GALARA,36606,7661,1368,512,1880
Nina,PH175213000,SAN TEODORO,17904,3508,700,199,899
Nina,PH175214000,SOCORRO,39099,8850,2,0,2
Nina,PH175215000,VICTORIA,50492,10485,236,8,244
Nina,PH050501000,BACACAY,68906,13530,2713,487,3200
Nina,PH050502000,CAMALIG,66904,13564,817,42,859
Nina,PH050503000,DARAGA (LOCSIN),126595,24923,49,4,53
Nina,PH050507000,LIBON,75172,14552,3950,1550,5500
Nina,PH050508000,CITY OF LIGAO,111399,21140,0,590,590
Nina,PH050509000,MALILIPOT,37785,7366,2677,529,3206
Nina,PH050512000,OAS,67960,13212,6000,2500,8500
Nina,PH050513000,PIO DURAN,46693,9127,280,22,302
Nina,PH050514000,POLANGUI,88221,16973,10480,5438,15918
Nina,PH050515000,RAPU-RAPU,36920,6933,1515,244,1759
Nina,PH050516000,STO. DOMINGO (LIBOG),34967,6887,636,395,1031
Nina,PH050517000,TABACO CITY,133868,25329,8694,3706,12400
Nina,PH050518000,TIWI,53120,10106,6770,3395,10165
Nina,PH051701000,BAAO,58849,10572,1826,476,2302
Nina,PH051702000,BALATAN,30922,5482,4540,1018,5558
Nina,PH051703000,BATO,52137,9122,4675,1381,6056
Nina,PH051705000,BUHI,77143,15598,7831,4125,11956
Nina,PH051710000,CANAMAN,34210,6582,3012,512,3524
Nina,PH051713000,GAINZA,11262,2020,53,4,57
Nina,PH051714000,GARCHITORENA,27010,4593,1404,51,1455
Nina,PH051715000,GOA,63308,11700,1394,308,1702
Nina,PH051716000,IRIGA CITY,111757,21759,10016,3760,13776
Nina,PH051717000,LAGONOY,55465,10374,3271,557,3828
Nina,PH051718000,LIBMANAN,108716,20670,5676,567,6243
Nina,PH051719000,LUPI,32167,6401,33,521,554
Nina,PH051720000,MAGARAO,25694,4830,1433,594,2027
Nina,PH051721000,MILAOR,31150,5484,896,3168,4064
Nina,PH051722000,MINALABAC,52390,9336,5884,3395,9279
Nina,PH051725000,OCAMPO,45934,8587,2628,1911,4539
Nina,PH051726000,PAMPLONA,36390,6839,4248,758,5006
Nina,PH051727000,PASACAO,49035,8906,3918,1650,5568
Nina,PH051728000,PILI,89545,16193,8603,5047,13650
Nina,PH051729000,PRESENTACION (PARUBCAN),20996,3815,1803,561,2364
Nina,PH051730000,RAGAY,58214,11630,150,23,173
Nina,PH051731000,SAGNAY,34546,6168,3907,3894,7801
Nina,PH051733000,SAN JOSE,40623,7687,4349,2564,6913
Nina,PH051734000,SIPOCOT,64855,13156,45,9,54
Nina,PH051735000,SIRUMA,17764,3385,2383,404,2787
Nina,PH051736000,TIGAON,55272,9944,8990,6295,15285
Nina,PH051737000,TINAMBAC,67572,12215,1120,138,1258
Nina,PH052003000,BATO,21279,4180,3375,1493,4868
Nina,PH052002000,BARAS,12848,2566,2404,1160,3564
Nina,PH052001000,BAGAMANOC,11551,2263,1295,33,1328
Nina,PH052004000,CARAMOAN,30056,5295,501,109,610
Nina,PH052005000,GIGMOTO,8368,1551,671,189,860
Nina,PH052006000,PANDAN,20516,3786,164,16,180
Nina,PH052007000,PANGANIBAN (PAYO),9287,1912,953,47,1000
Nina,PH052008000,SAN ANDRES (CALOLBON),36779,7224,3381,2112,5493
Nina,PH052010000,VIGA,21624,3927,3272,1404,4676
Nina,PH052011000,VIRAC,73650,13938,7117,2486,9603
Nina,PH056216000,CITY OF SORSOGON,168110,32694,61,6,67
