typhoon_name,admin_L3_code,admin_L2_code,admin_L3_name,comp_damage_houses,part_damage_houses,total_damage_houses,pop_15,n_households,pop_density_15,average_speed_mph,distance_typhoon_km,Rainfallme,distance_first_impact,x_pos,y_pos,mean_elevation_m,mean_slope,slope_stdev,mean_ruggedness,ruggedness_stdev,with_coast,coast_length,perimeter,area_km2,poverty_perc,roof_conc,roof_makeshift,roof_straw,roof_iron,roof_half_conc,roof_wood,wall_conc,wall_wood,wall_iron,wall_makeshift,wall_bamboo,wall_half_wood,mean_elevation_neighbours,typhoon_direction
Hagupit,PH045620000,PH045600000,INFANTA,1,1,2,69079,14638,401.0997306,46.91463596,101.3339833,235.8231247,516732.6132,347774.7321,1622912.37,204.4695074,9.267930367,9.647589908,46.54330011,45.3036999,1,41462.48266,122425,172.224,3.490206865,0.003556573,0.00174736,0.20799765,0.763982743,0.018679738,0.004035937,0.445991953,0.353033117,0.002476014,0.005230579,0.046997833,0.146270504,841931.632372,-415398.6299
Hagupit,PH051705000,PH051700000,BUHI,2,36,38,77143,15598,410.8858683,60.0,67.01690638,125.721165,267106.923,556127.41,1484491.709,281.7991736,9.483947751,8.508021441,47.80568773,40.93363596,1,26460.28528,92591,187.748,6.437395486,0.01601061,0.006918334,0.281573442,0.642024091,0.043861688,0.009611835,0.379081939,0.153314616,0.01358829,0.01143488,0.304625743,0.137954533,690084.104804,-200090.01662
Hagupit,PH051708000,PH051700000,CALABANGA,1,16,17,83033,15603,548.8152285,60.0,74.06865703,143.1795657,307718.7257,529148.9597,1515623.3,201.372453,5.00299504,6.73409529,25.4673699,33.70078205,1,26490.21033,91398,151.295,5.894042128,0.00542082,0.002350735,0.36557137,0.591922721,0.03310297,0.001631384,0.428223844,0.132124554,0.007532226,0.00657452,0.303372677,0.12217218,684146.723,-233650.06867
Hagupit,PH051711000,PH051700000,CARAMOAN,3,229,232,47605,9005,174.050228,50.0,120.209346,118.2226428,271596.8199,589998.9202,1525506.881,98.49001225,10.30389497,7.201187674,53.6928522,33.53034204,1,118149.6731,294608,273.513,8.763785317,0.008471176,0.00338847,0.482321994,0.473761648,0.020442285,0.011614428,0.23142838,0.229152255,0.002967889,0.00486466,0.381786535,0.149800281,588138.632081,-151387.4739
Hagupit,PH051714000,PH051700000,GARCHITORENA,131,76,207,27010,4593,110.3196451,50.0,112.4588424,129.9873932,291284.4781,568611.4256,1532963.844,189.5756011,10.69925142,7.393707239,52.8802769,32.84498443,1,9083.178952,280907,244.834,9.059607553,0.008136212,0.000396888,0.689077631,0.22400381,0.042625814,0.035759644,0.176309197,0.345461052,0.003101515,0.000516919,0.313690405,0.160920911,610666.451338,-178825.6357
Hagupit,PH051729000,PH051700000,PRESENTACION (PARUBCAN),13,371,384,20996,3815,135.9307527,50.0,108.6100821,135.0464854,274850.8702,578605.3707,1519835.091,278.2062618,14.66786829,7.277347286,71.9882388,32.89272679,1,25937.20724,72740,154.461,8.434939989,0.010240964,0.005873494,0.433785141,0.507580321,0.037399598,0.005120482,0.278605213,0.20660159,0.001962363,0.019221093,0.312619503,0.180990239,603117.716146,-166240.7881
Hagupit,PH051734000,PH051700000,SIPOCOT,1,2,3,64855,13156,255.7030997,59.62139464,61.48253536,237.7739946,339617.7168,495710.1874,1524963.782,110.4843282,4.552140341,3.416642178,24.38337221,15.35322368,1,18002.11926,111677,253.634,6.142934238,0.003522234,0.014749355,0.293949305,0.65191207,0.027218693,0.008648343,0.270922857,0.227794305,0.003399915,0.007838693,0.305126631,0.184917599,667162.171928,-278135.18144
Hagupit,PH051735000,PH051700000,SIRUMA,9,1,10,17764,3385,137.6734093,50.0,102.1298732,158.7779525,328511.2694,532029.9138,1549497.838,25.7234279,3.236080781,3.440155443,17.23720992,14.81267245,1,135918.8687,180848,129.03,9.440441342,0.011256483,0.00607025,0.664368223,0.299151344,0.013260255,0.005893446,0.204612006,0.295815032,0.001891166,0.019155686,0.352855051,0.125671059,615782.654331,-226381.3962
Hagupit,PH052008000,PH052000000,SAN ANDRES (CALOLBON),3,2,5,36779,7224,205.3052589,50.0,123.3737834,136.6166266,241279.7765,620046.0774,1510646.929,230.4457792,14.12500134,9.065800361,71.55172238,42.21865337,1,55546.24464,85564,179.143,6.810951902,0.010409595,0.004327902,0.237893189,0.707739308,0.038357094,0.001272912,0.401823123,0.15374816,0.004331333,0.007643528,0.241224097,0.191229759,540419.650326,-117905.9931
Hagupit,PH054101000,PH054100000,AROROY,27,907,934,86168,14581,188.9288666,77.99299306,35.50713323,141.0272258,234658.1347,537078.115,1375149.248,81.5403548,6.478378974,5.873482715,34.02695885,27.32961456,1,168360.2263,255061,456.087,7.206851732,0.004848097,0.025066262,0.476285612,0.435343163,0.038025599,0.020431268,0.201514626,0.196208101,0.00411989,0.034225754,0.418482174,0.145449455,576538.927435,-199151.00147
