typhoon_name,admin_L3_code,admin_L2_code,admin_L3_name,comp_damage_houses,part_damage_houses,total_damage_houses,pop_15,n_households,pop_density_15,average_speed_mph,distance_typhoon_km,Rainfallme,distance_first_impact,x_pos,y_pos,mean_elevation_m,mean_slope,slope_stdev,mean_ruggedness,ruggedness_stdev,with_coast,coast_length,perimeter,area_km2,poverty_perc,duration_days,in_winter,roof_conc_abs,roof_makeshift_abs,roof_straw_abs,roof_iron_abs,roof_half_conc_abs,roof_wood_abs,wall_conc_abs,wall_wood_abs,wall_iron_abs,wall_makeshift_abs,wall_bamboo_abs,wall_half_wood_abs
Hagupit,PH045620000,PH045600000,INFANTA,1,1,2,69079,14638,401.0997306,46.91463596,101.3339833,235.8231247,516732.6132,347774.7321,1622912.37,204.4695074,9.267930367,9.647589908,46.54330011,45.3036999,1,41462.48266,122425,172.224,3.490206865,12.0,1.0,52.061115574,25.57785568,3044.6696007,11183.179392,273.434004844,59.078045806,6528.43020801,5167.69876665,36.243892932,76.565215402,687.954279454,2141.10763755
Hagupit,PH051705000,PH051700000,BUHI,2,36,38,77143,15598,410.8858683,60.0,67.01690638,125.721165,267106.923,556127.41,1484491.709,281.7991736,9.483947751,8.508021441,47.80568773,40.93363596,1,26460.28528,92591,187.748,6.437395486,12.0,1.0,249.73349478,107.912173732,4391.98254832,10014.2917714,684.154609424,149.92540233,5912.92008452,2391.40138037,211.95014742,178.36125824,4751.55233931,2151.81480573
Hagupit,PH051708000,PH051700000,CALABANGA,1,16,17,83033,15603,548.8152285,60.0,74.06865703,143.1795657,307718.7257,529148.9597,1515623.3,201.372453,5.00299504,6.73409529,25.4673699,33.70078205,1,26490.21033,91398,151.295,5.894042128,12.0,1.0,84.58105446,36.678518205,5704.01008611,9235.77021576,516.50564091,25.454484552,6681.57663793,2061.53941606,117.525322278,102.58223556,4733.52387923,1906.25252454
Hagupit,PH051711000,PH051700000,CARAMOAN,3,229,232,47605,9005,174.050228,50.0,120.209346,118.2226428,271596.8199,589998.9202,1525506.881,98.49001225,10.30389497,7.201187674,53.6928522,33.53034204,1,118149.6731,294608,273.513,8.763785317,12.0,1.0,76.28293988,30.51317235,4343.30955597,4266.22364024,184.082776425,104.58792414,2084.0125619,2063.51605628,26.725840445,43.8062633,3437.98774767,1348.95153041
Hagupit,PH051714000,PH051700000,GARCHITORENA,131,76,207,27010,4593,110.3196451,50.0,112.4588424,129.9873932,291284.4781,568611.4256,1532963.844,189.5756011,10.69925142,7.393707239,52.8802769,32.84498443,1,9083.178952,280907,244.834,9.059607553,12.0,1.0,37.369621716,1.822906584,3164.93355918,1028.84949933,195.780363702,164.244044892,809.788141821,1586.70261184,14.245258395,2.374208967,1440.78003016,739.109744223
Hagupit,PH051729000,PH051700000,PRESENTACION (PARUBCAN),13,371,384,20996,3815,135.9307527,50.0,108.6100821,135.0464854,274850.8702,578605.3707,1519835.091,278.2062618,14.66786829,7.277347286,71.9882388,32.89272679,1,25937.20724,72740,154.461,8.434939989,12.0,1.0,39.06927766,22.40737961,1654.89031292,1936.41892462,142.67946637,19.53463883,1062.8788876,788.18506585,7.486414845,73.328469795,1192.64340395,690.477761785
Hagupit,PH051734000,PH051700000,SIPOCOT,1,2,3,64855,13156,255.7030997,59.62139464,61.48253536,237.7739946,339617.7168,495710.1874,1524963.782,110.4843282,4.552140341,3.416642178,24.38337221,15.35322368,1,18002.11926,111677,253.634,6.142934238,12.0,1.0,46.338510504,194.04251438,3867.19705658,8576.55519292,358.089125108,113.777600508,3564.26110669,2996.86187658,44.72928174,103.125845108,4014.24595744,2432.77593244
Hagupit,PH051735000,PH051700000,SIRUMA,9,1,10,17764,3385,137.6734093,50.0,102.1298732,158.7779525,328511.2694,532029.9138,1549497.838,25.7234279,3.236080781,3.440155443,17.23720992,14.81267245,1,135918.8687,180848,129.03,9.440441342,12.0,1.0,38.103194955,20.54779625,2248.88643486,1012.62729944,44.885963175,19.94931471,692.61164031,1001.33388332,6.40159691,64.84199711,1194.41434764,425.396534715
Hagupit,PH052008000,PH052000000,SAN ANDRES (CALOLBON),3,2,5,36779,7224,205.3052589,50.0,123.3737834,136.6166266,241279.7765,620046.0774,1510646.929,230.4457792,14.12500134,9.065800361,71.55172238,42.21865337,1,55546.24464,85564,179.143,6.810951902,12.0,1.0,75.19891428,31.264764048,1718.54039734,5112.70876099,277.091647056,9.195516288,2902.77024055,1110.67670784,31.289549592,55.216846272,1742.60287673,1381.44377902
Hagupit,PH054101000,PH054100000,AROROY,27,907,934,86168,14581,188.9288666,77.99299306,35.50713323,141.0272258,234658.1347,537078.115,1375149.248,81.5403548,6.478378974,5.873482715,34.02695885,27.32961456,1,168360.2263,255061,456.087,7.206851732,12.0,1.0,70.690102357,365.491166222,6944.72050857,6347.7386597,554.451259019,297.908318708,2938.28476171,2860.91032068,60.07211609,499.045719074,6101.88857909,2120.79850335
Hagupit,PH054102000,PH054100000,BALENO,9,762,771,26096,4782,168.3373973,81.91322667,29.10396583,139.4809132,219663.5667,552134.454,1373478.506,169.9847636,9.987693064,6.467413105,50.14821589,28.45945922,1,23682.86823,70027,155.022,8.871091355,12.0,1.0,13.609323336,1.972364592,3180.43926747,1457.97253189,97.43485197,30.571665522,1001.50014664,1190.20864527,5.142997962,12.264075006,1910.8219257,662.062214202
Hagupit,PH054104000,PH054100000,BATUAN,18,501,519,15086,2896,286.1478348,90.0,13.46810465,161.7191472,189341.6223,582894.0959,1370903.289,60.26321674,6.640288938,4.752842741,34.07338906,21.81589062,1,35990.5438,50747,52.721,8.033938751,12.0,1.0,5.055202576,12.216744144,2134.98116179,673.605933664,36.650229536,33.490725392,526.373117008,1035.26365542,3.580770784,17.27194672,1011.67270331,301.837806752
Hagupit,PH054107000,PH054100000,CLAVERIA,15,80,95,43693,8692,255.8572591,81.9780018,1.819622804,191.8286611,262406.3038,524080.9779,1422503.642,83.23610023,6.783165719,5.244207326,34.06981517,23.69611087,1,149326.6142,156604,170.771,8.346874785,12.0,1.0,41.025874936,418.814910784,5683.07044663,2392.88331455,122.200054412,34.005398688,1475.71713838,776.315862512,14.774557296,439.10841002,5141.3272309,844.756809584
Hagupit,PH054110000,PH054100000,MANDAON,72,479,551,41262,7701,128.2643498,69.4148105,57.39562053,143.3866634,233278.6517,533753.6045,1351546.814,56.28223857,4.462792214,4.780818315,22.77677129,22.66666915,1,86750.64517,177044,321.695,9.987397606,12.0,1.0,44.651160399,32.214076203,4281.41428353,3235.27224657,96.030576684,11.417648919,1753.30174856,542.32967928,22.817778063,53.377302117,4564.16674856,765.006743424
